time,temp,usage
2020-04-08 08:00:00,14.4,3124.0
2020-04-08 09:00:00,15.7,3274.0
2020-04-08 10:00:00,17.9,3266.0
2020-04-08 11:00:00,17.9,3260.0
2020-04-08 12:00:00,18.5,3106.0
2020-04-08 13:00:00,18.5,3150.0
2020-04-08 14:00:00,19.0,3127.0
2020-04-08 15:00:00,18.7,3084.0
2020-04-08 16:00:00,18.3,3091.0
2020-04-08 17:00:00,16.6,3099.0
2020-04-08 18:00:00,15.7,3244.0
2020-04-08 19:00:00,15.4,3184.0
2020-04-08 20:00:00,16.0,3078.0
2020-04-08 21:00:00,15.6,2972.0
2020-04-08 22:00:00,14.8,2842.0
2020-04-08 23:00:00,13.8,2695.0
2020-04-09 00:00:00,13.1,2501.0
2020-04-09 01:00:00,12.0,2422.0
2020-04-09 02:00:00,11.1,2422.0
2020-04-09 03:00:00,11.6,2437.0
2020-04-09 04:00:00,11.2,2456.0
2020-04-09 05:00:00,11.3,2506.0
2020-04-09 06:00:00,13.1,2598.0
2020-04-09 07:00:00,14.6,2735.0
2020-04-09 08:00:00,15.2,2986.0
2020-04-09 09:00:00,17.0,3133.0
2020-04-09 10:00:00,17.1,3160.0
2020-04-09 11:00:00,18.7,3200.0
2020-04-09 12:00:00,18.7,3075.0
2020-04-09 13:00:00,17.5,3147.0
2020-04-09 14:00:00,15.7,3163.0
2020-04-09 15:00:00,14.5,3129.0
2020-04-09 16:00:00,14.4,3183.0
2020-04-09 17:00:00,13.9,3241.0
2020-04-09 18:00:00,13.3,3348.0
2020-04-09 19:00:00,10.5,3272.0
2020-04-09 20:00:00,8.8,3164.0
2020-04-09 21:00:00,8.4,3050.0
2020-04-09 22:00:00,8.1,2918.0
2020-04-09 23:00:00,8.2,2749.0
2020-04-10 00:00:00,8.2,2554.0
2020-04-10 01:00:00,8.0,2461.0
2020-04-10 02:00:00,7.4,2452.0
2020-04-10 03:00:00,8.0,2484.0
2020-04-10 04:00:00,7.8,2524.0
2020-04-10 05:00:00,8.2,2609.0
2020-04-10 06:00:00,8.5,2733.0
2020-04-10 07:00:00,10.1,2892.0
2020-04-10 08:00:00,13.2,3121.0
2020-04-10 09:00:00,13.6,3266.0
2020-04-10 10:00:00,15.2,3326.0
2020-04-10 11:00:00,16.4,3316.0
2020-04-10 12:00:00,16.0,3164.0
2020-04-10 13:00:00,16.3,3183.0
2020-04-10 14:00:00,15.5,3106.0
2020-04-10 15:00:00,14.5,3070.0
2020-04-10 16:00:00,13.1,3121.0
2020-04-10 17:00:00,11.9,3198.0
2020-04-10 18:00:00,10.9,3401.0
2020-04-10 19:00:00,10.2,3371.0
2020-04-10 20:00:00,9.8,3268.0
2020-04-10 21:00:00,9.5,3151.0
2020-04-10 22:00:00,8.9,3012.0
2020-04-10 23:00:00,8.4,2851.0
2020-04-11 00:00:00,7.9,2644.0
2020-04-11 01:00:00,8.3,2536.0
2020-04-11 02:00:00,8.0,2518.0
2020-04-11 03:00:00,6.8,2518.0
2020-04-11 04:00:00,7.2,2528.0
2020-04-11 05:00:00,7.2,2533.0
2020-04-11 06:00:00,8.5,2516.0
2020-04-11 07:00:00,10.5,2543.0
2020-04-11 08:00:00,11.8,2671.0
2020-04-11 09:00:00,12.5,2783.0
2020-04-11 10:00:00,14.8,2796.0
2020-04-11 11:00:00,15.3,2791.0
2020-04-11 12:00:00,15.3,2742.0
2020-04-11 13:00:00,14.7,2685.0
2020-04-11 14:00:00,16.2,2628.0
2020-04-11 15:00:00,14.6,2615.0
2020-04-11 16:00:00,14.5,2679.0
2020-04-11 17:00:00,13.6,2875.0
2020-04-11 18:00:00,12.2,3127.0
2020-04-11 19:00:00,12.1,3102.0
2020-04-11 20:00:00,10.1,3011.0
2020-04-11 21:00:00,9.5,2892.0
2020-04-11 22:00:00,11.0,2737.0
2020-04-11 23:00:00,10.9,2596.0
2020-04-12 00:00:00,8.2,2429.0
2020-04-12 01:00:00,7.9,2339.0
2020-04-12 02:00:00,7.9,2332.0
2020-04-12 03:00:00,7.7,2344.0
2020-04-12 04:00:00,7.6,2357.0
2020-04-12 05:00:00,7.7,2364.0
2020-04-12 06:00:00,7.7,2412.0
2020-04-12 07:00:00,8.1,2548.0
2020-04-12 08:00:00,8.3,2678.0
2020-04-12 09:00:00,9.8,2749.0
2020-04-12 10:00:00,11.1,2771.0
2020-04-12 11:00:00,13.2,2745.0
2020-04-12 12:00:00,13.3,2711.0
2020-04-12 13:00:00,12.8,2695.0
2020-04-12 14:00:00,13.2,2667.0
2020-04-12 15:00:00,13.3,2668.0
2020-04-12 16:00:00,12.8,2736.0
2020-04-12 17:00:00,12.1,2984.0
2020-04-12 18:00:00,11.6,3175.0
2020-04-12 19:00:00,11.4,3123.0
2020-04-12 20:00:00,10.9,3038.0
2020-04-12 21:00:00,10.4,2904.0
2020-04-12 22:00:00,9.9,2739.0
2020-04-12 23:00:00,9.6,2580.0
2020-04-13 00:00:00,9.1,2401.0
