hour,time,prediction,feature_contributions,sorted_contributions,explanation_text
0,00:00,2937.4423828125,"{'Temperature': {'contribution': 2.8979876449148336, 'feature_value': 2.948426914342931, 'feature_chinese': '温度'}, 'Hour': {'contribution': 474.98462887708894, 'feature_value': 0.0, 'feature_chinese': '小时'}, 'Day_of_Week': {'contribution': -26.921018868432263, 'feature_value': 4.0, 'feature_chinese': '星期'}, 'Week_of_Month': {'contribution': -43.2796605756031, 'feature_value': 1.0, 'feature_chinese': '周数'}}","[{'feature': 'Hour', 'feature_chinese': '小时', 'contribution': 474.98462887708894, 'feature_value': 0.0, 'abs_contribution': 474.98462887708894}, {'feature': 'Week_of_Month', 'feature_chinese': '周数', 'contribution': -43.2796605756031, 'feature_value': 1.0, 'abs_contribution': 43.2796605756031}, {'feature': 'Day_of_Week', 'feature_chinese': '星期', 'contribution': -26.921018868432263, 'feature_value': 4.0, 'abs_contribution': 26.921018868432263}, {'feature': 'Temperature', 'feature_chinese': '温度', 'contribution': 2.8979876449148336, 'feature_value': 2.948426914342931, 'abs_contribution': 2.8979876449148336}]",0:00时刻，小时最大程度增加用电需求(+475.0)，周数最大程度减少用电需求(-43.3)
1,01:00,2829.55126953125,"{'Temperature': {'contribution': 73.11657770606563, 'feature_value': 3.594020047843514, 'feature_chinese': '温度'}, 'Hour': {'contribution': 451.8162197584701, 'feature_value': 1.0, 'feature_chinese': '小时'}, 'Day_of_Week': {'contribution': -28.466876068577577, 'feature_value': 4.0, 'feature_chinese': '星期'}, 'Week_of_Month': {'contribution': -58.004146757748536, 'feature_value': 1.0, 'feature_chinese': '周数'}}","[{'feature': 'Hour', 'feature_chinese': '小时', 'contribution': 451.8162197584701, 'feature_value': 1.0, 'abs_contribution': 451.8162197584701}, {'feature': 'Temperature', 'feature_chinese': '温度', 'contribution': 73.11657770606563, 'feature_value': 3.594020047843514, 'abs_contribution': 73.11657770606563}, {'feature': 'Week_of_Month', 'feature_chinese': '周数', 'contribution': -58.004146757748536, 'feature_value': 1.0, 'abs_contribution': 58.004146757748536}, {'feature': 'Day_of_Week', 'feature_chinese': '星期', 'contribution': -28.466876068577577, 'feature_value': 4.0, 'abs_contribution': 28.466876068577577}]",1:00时刻，小时最大程度增加用电需求(+451.8)，周数最大程度减少用电需求(-58.0)
2,02:00,2850.343994140625,"{'Temperature': {'contribution': -7.148811479261288, 'feature_value': 4.358950198832561, 'feature_chinese': '温度'}, 'Hour': {'contribution': 454.7883264957016, 'feature_value': 2.0, 'feature_chinese': '小时'}, 'Day_of_Week': {'contribution': -0.1316381606213375, 'feature_value': 4.0, 'feature_chinese': '星期'}, 'Week_of_Month': {'contribution': -36.776396696173656, 'feature_value': 1.0, 'feature_chinese': '周数'}}","[{'feature': 'Hour', 'feature_chinese': '小时', 'contribution': 454.7883264957016, 'feature_value': 2.0, 'abs_contribution': 454.7883264957016}, {'feature': 'Week_of_Month', 'feature_chinese': '周数', 'contribution': -36.776396696173656, 'feature_value': 1.0, 'abs_contribution': 36.776396696173656}, {'feature': 'Temperature', 'feature_chinese': '温度', 'contribution': -7.148811479261288, 'feature_value': 4.358950198832561, 'abs_contribution': 7.148811479261288}, {'feature': 'Day_of_Week', 'feature_chinese': '星期', 'contribution': -0.1316381606213375, 'feature_value': 4.0, 'abs_contribution': 0.1316381606213375}]",2:00时刻，小时最大程度增加用电需求(+454.8)，周数最大程度减少用电需求(-36.8)
3,03:00,2838.860595703125,"{'Temperature': {'contribution': 3.275891469977713, 'feature_value': 3.650040846464885, 'feature_chinese': '温度'}, 'Hour': {'contribution': 437.6485128734982, 'feature_value': 3.0, 'feature_chinese': '小时'}, 'Day_of_Week': {'contribution': -4.6588180564910076, 'feature_value': 4.0, 'feature_chinese': '星期'}, 'Week_of_Month': {'contribution': -36.91457912573234, 'feature_value': 1.0, 'feature_chinese': '周数'}}","[{'feature': 'Hour', 'feature_chinese': '小时', 'contribution': 437.6485128734982, 'feature_value': 3.0, 'abs_contribution': 437.6485128734982}, {'feature': 'Week_of_Month', 'feature_chinese': '周数', 'contribution': -36.91457912573234, 'feature_value': 1.0, 'abs_contribution': 36.91457912573234}, {'feature': 'Day_of_Week', 'feature_chinese': '星期', 'contribution': -4.6588180564910076, 'feature_value': 4.0, 'abs_contribution': 4.6588180564910076}, {'feature': 'Temperature', 'feature_chinese': '温度', 'contribution': 3.275891469977713, 'feature_value': 3.650040846464885, 'abs_contribution': 3.275891469977713}]",3:00时刻，小时最大程度增加用电需求(+437.6)，周数最大程度减少用电需求(-36.9)
4,04:00,2930.67431640625,"{'Temperature': {'contribution': 32.12652866984642, 'feature_value': 3.808392075708821, 'feature_chinese': '温度'}, 'Hour': {'contribution': 387.5784236023485, 'feature_value': 4.0, 'feature_chinese': '小时'}, 'Day_of_Week': {'contribution': 0.563418208855176, 'feature_value': 4.0, 'feature_chinese': '星期'}, 'Week_of_Month': {'contribution': 7.125485003233749, 'feature_value': 1.0, 'feature_chinese': '周数'}}","[{'feature': 'Hour', 'feature_chinese': '小时', 'contribution': 387.5784236023485, 'feature_value': 4.0, 'abs_contribution': 387.5784236023485}, {'feature': 'Temperature', 'feature_chinese': '温度', 'contribution': 32.12652866984642, 'feature_value': 3.808392075708821, 'abs_contribution': 32.12652866984642}, {'feature': 'Week_of_Month', 'feature_chinese': '周数', 'contribution': 7.125485003233749, 'feature_value': 1.0, 'abs_contribution': 7.125485003233749}, {'feature': 'Day_of_Week', 'feature_chinese': '星期', 'contribution': 0.563418208855176, 'feature_value': 4.0, 'abs_contribution': 0.563418208855176}]",4:00时刻，小时最大程度增加用电需求(+387.6)
5,05:00,3193.962890625,"{'Temperature': {'contribution': 4.332826322635187, 'feature_value': 3.276049393764544, 'feature_chinese': '温度'}, 'Hour': {'contribution': 440.4432967387986, 'feature_value': 5.0, 'feature_chinese': '小时'}, 'Day_of_Week': {'contribution': -19.427042258958647, 'feature_value': 4.0, 'feature_chinese': '星期'}, 'Week_of_Month': {'contribution': -84.01925995532442, 'feature_value': 1.0, 'feature_chinese': '周数'}}","[{'feature': 'Hour', 'feature_chinese': '小时', 'contribution': 440.4432967387986, 'feature_value': 5.0, 'abs_contribution': 440.4432967387986}, {'feature': 'Week_of_Month', 'feature_chinese': '周数', 'contribution': -84.01925995532442, 'feature_value': 1.0, 'abs_contribution': 84.01925995532442}, {'feature': 'Day_of_Week', 'feature_chinese': '星期', 'contribution': -19.427042258958647, 'feature_value': 4.0, 'abs_contribution': 19.427042258958647}, {'feature': 'Temperature', 'feature_chinese': '温度', 'contribution': 4.332826322635187, 'feature_value': 3.276049393764544, 'abs_contribution': 4.332826322635187}]",5:00时刻，小时最大程度增加用电需求(+440.4)，周数最大程度减少用电需求(-84.0)
6,06:00,4368.6533203125,"{'Temperature': {'contribution': 8.764148637011752, 'feature_value': 2.3783800505854167, 'feature_chinese': '温度'}, 'Hour': {'contribution': 425.55706378496586, 'feature_value': 6.0, 'feature_chinese': '小时'}, 'Day_of_Week': {'contribution': -0.382392712943553, 'feature_value': 4.0, 'feature_chinese': '星期'}, 'Week_of_Month': {'contribution': -81.49782745327015, 'feature_value': 1.0, 'feature_chinese': '周数'}}","[{'feature': 'Hour', 'feature_chinese': '小时', 'contribution': 425.55706378496586, 'feature_value': 6.0, 'abs_contribution': 425.55706378496586}, {'feature': 'Week_of_Month', 'feature_chinese': '周数', 'contribution': -81.49782745327015, 'feature_value': 1.0, 'abs_contribution': 81.49782745327015}, {'feature': 'Temperature', 'feature_chinese': '温度', 'contribution': 8.764148637011752, 'feature_value': 2.3783800505854167, 'abs_contribution': 8.764148637011752}, {'feature': 'Day_of_Week', 'feature_chinese': '星期', 'contribution': -0.382392712943553, 'feature_value': 4.0, 'abs_contribution': 0.382392712943553}]",6:00时刻，小时最大程度增加用电需求(+425.6)，周数最大程度减少用电需求(-81.5)
7,07:00,4794.36083984375,"{'Temperature': {'contribution': 30.737932921278784, 'feature_value': 3.5075795197058586, 'feature_chinese': '温度'}, 'Hour': {'contribution': 436.60752396011696, 'feature_value': 7.0, 'feature_chinese': '小时'}, 'Day_of_Week': {'contribution': -1.8408191729988166, 'feature_value': 4.0, 'feature_chinese': '星期'}, 'Week_of_Month': {'contribution': -68.77320115947995, 'feature_value': 1.0, 'feature_chinese': '周数'}}","[{'feature': 'Hour', 'feature_chinese': '小时', 'contribution': 436.60752396011696, 'feature_value': 7.0, 'abs_contribution': 436.60752396011696}, {'feature': 'Week_of_Month', 'feature_chinese': '周数', 'contribution': -68.77320115947995, 'feature_value': 1.0, 'abs_contribution': 68.77320115947995}, {'feature': 'Temperature', 'feature_chinese': '温度', 'contribution': 30.737932921278784, 'feature_value': 3.5075795197058586, 'abs_contribution': 30.737932921278784}, {'feature': 'Day_of_Week', 'feature_chinese': '星期', 'contribution': -1.8408191729988166, 'feature_value': 4.0, 'abs_contribution': 1.8408191729988166}]",7:00时刻，小时最大程度增加用电需求(+436.6)，周数最大程度减少用电需求(-68.8)
8,08:00,4610.021484375,"{'Temperature': {'contribution': 15.965735034156229, 'feature_value': -1.2237983866854014, 'feature_chinese': '温度'}, 'Hour': {'contribution': 376.8660189667953, 'feature_value': 8.0, 'feature_chinese': '小时'}, 'Day_of_Week': {'contribution': 33.03464023318391, 'feature_value': 4.0, 'feature_chinese': '星期'}, 'Week_of_Month': {'contribution': -60.771515028071406, 'feature_value': 1.0, 'feature_chinese': '周数'}}","[{'feature': 'Hour', 'feature_chinese': '小时', 'contribution': 376.8660189667953, 'feature_value': 8.0, 'abs_contribution': 376.8660189667953}, {'feature': 'Week_of_Month', 'feature_chinese': '周数', 'contribution': -60.771515028071406, 'feature_value': 1.0, 'abs_contribution': 60.771515028071406}, {'feature': 'Day_of_Week', 'feature_chinese': '星期', 'contribution': 33.03464023318391, 'feature_value': 4.0, 'abs_contribution': 33.03464023318391}, {'feature': 'Temperature', 'feature_chinese': '温度', 'contribution': 15.965735034156229, 'feature_value': -1.2237983866854014, 'abs_contribution': 15.965735034156229}]",8:00时刻，小时最大程度增加用电需求(+376.9)，周数最大程度减少用电需求(-60.8)
9,09:00,4789.24951171875,"{'Temperature': {'contribution': 13.16760406410682, 'feature_value': 1.0781491349779888, 'feature_chinese': '温度'}, 'Hour': {'contribution': 368.8182697382822, 'feature_value': 9.0, 'feature_chinese': '小时'}, 'Day_of_Week': {'contribution': -37.91976980028361, 'feature_value': 4.0, 'feature_chinese': '星期'}, 'Week_of_Month': {'contribution': -92.0799286196208, 'feature_value': 1.0, 'feature_chinese': '周数'}}","[{'feature': 'Hour', 'feature_chinese': '小时', 'contribution': 368.8182697382822, 'feature_value': 9.0, 'abs_contribution': 368.8182697382822}, {'feature': 'Week_of_Month', 'feature_chinese': '周数', 'contribution': -92.0799286196208, 'feature_value': 1.0, 'abs_contribution': 92.0799286196208}, {'feature': 'Day_of_Week', 'feature_chinese': '星期', 'contribution': -37.91976980028361, 'feature_value': 4.0, 'abs_contribution': 37.91976980028361}, {'feature': 'Temperature', 'feature_chinese': '温度', 'contribution': 13.16760406410682, 'feature_value': 1.0781491349779888, 'abs_contribution': 13.16760406410682}]",9:00时刻，小时最大程度增加用电需求(+368.8)，周数最大程度减少用电需求(-92.1)
