feature_value,shap_value,sample_index,feature_name,feature_chinese
0.0,42.04521579053253,72,Day_of_Week,星期
0.0,53.70679561695084,73,Day_of_Week,星期
0.0,57.976581587251275,74,Day_of_Week,星期
0.0,58.45836222236976,75,Day_of_Week,星期
0.0,86.99298517009244,76,Day_of_Week,星期
0.0,121.9716734375991,77,Day_of_Week,星期
0.0,173.2364491137676,78,Day_of_Week,星期
0.0,177.03423640767113,79,Day_of_Week,星期
0.0,175.39273102683947,80,Day_of_Week,星期
0.0,139.6378774461709,81,Day_of_Week,星期
0.0,126.45205680243672,82,Day_of_Week,星期
0.0,128.32822735141963,83,Day_of_Week,星期
0.0,119.05208108477295,84,Day_of_Week,星期
0.0,137.28185492981225,85,Day_of_Week,星期
0.0,124.39314766678959,86,Day_of_Week,星期
0.0,121.64194185305386,87,Day_of_Week,星期
0.0,120.61891191903501,88,Day_of_Week,星期
0.0,100.3230310613662,89,Day_of_Week,星期
0.0,92.47964280374349,90,Day_of_Week,星期
0.0,102.76526754077524,91,Day_of_Week,星期
0.0,66.31800741825253,92,Day_of_Week,星期
0.0,74.81964056760073,93,Day_of_Week,星期
0.0,55.77635087236762,94,Day_of_Week,星期
0.0,51.75675686117262,95,Day_of_Week,星期
0.0,91.47988966414705,240,Day_of_Week,星期
0.0,95.28716020833701,241,Day_of_Week,星期
0.0,99.79571437148377,242,Day_of_Week,星期
0.0,104.32672122089193,243,Day_of_Week,星期
0.0,161.2418607197143,244,Day_of_Week,星期
0.0,240.61329076038675,245,Day_of_Week,星期
0.0,231.94442919388413,246,Day_of_Week,星期
0.0,247.44109107235445,247,Day_of_Week,星期
0.0,237.40673476111144,248,Day_of_Week,星期
0.0,207.24476185243577,249,Day_of_Week,星期
0.0,204.21906924758107,250,Day_of_Week,星期
0.0,188.5860796112567,251,Day_of_Week,星期
0.0,202.22745517427103,252,Day_of_Week,星期
0.0,194.97469153545796,253,Day_of_Week,星期
0.0,198.73208533184604,254,Day_of_Week,星期
0.0,210.46161747040227,255,Day_of_Week,星期
0.0,185.37776598948986,256,Day_of_Week,星期
0.0,176.13344303760678,257,Day_of_Week,星期
0.0,178.9374834273383,258,Day_of_Week,星期
0.0,170.24458991464226,259,Day_of_Week,星期
0.0,154.4375165816769,260,Day_of_Week,星期
0.0,153.74433943960815,261,Day_of_Week,星期
0.0,129.69008570251987,262,Day_of_Week,星期
0.0,120.03220998499542,263,Day_of_Week,星期
0.0,-108.01511811330914,408,Day_of_Week,星期
0.0,-99.71994111381471,409,Day_of_Week,星期
0.0,-101.83652969665826,410,Day_of_Week,星期
0.0,-105.64443445097655,411,Day_of_Week,星期
0.0,-112.91000555556268,412,Day_of_Week,星期
0.0,-98.83012070361525,413,Day_of_Week,星期
0.0,-195.79792132928966,414,Day_of_Week,星期
0.0,-218.3083415882662,415,Day_of_Week,星期
0.0,-236.0926700302586,416,Day_of_Week,星期
0.0,-221.92021848332138,417,Day_of_Week,星期
0.0,-248.39921398613603,418,Day_of_Week,星期
0.0,-258.55124156657604,419,Day_of_Week,星期
0.0,-309.9051718920842,420,Day_of_Week,星期
0.0,-310.5179466116801,421,Day_of_Week,星期
0.0,-306.4199213004857,422,Day_of_Week,星期
0.0,-275.960792799145,423,Day_of_Week,星期
0.0,-260.1570337022096,424,Day_of_Week,星期
0.0,-225.97743811700494,425,Day_of_Week,星期
0.0,-222.6566027520597,426,Day_of_Week,星期
0.0,-223.49549298010766,427,Day_of_Week,星期
0.0,-239.15753853265196,428,Day_of_Week,星期
0.0,-147.48128347843885,429,Day_of_Week,星期
0.0,-138.79295359246433,430,Day_of_Week,星期
0.0,-149.83639579847454,431,Day_of_Week,星期
1.0,46.67798357799649,96,Day_of_Week,星期
1.0,64.3045356348157,97,Day_of_Week,星期
1.0,71.64188511557877,98,Day_of_Week,星期
1.0,68.83945149935782,99,Day_of_Week,星期
1.0,106.38700012296438,100,Day_of_Week,星期
1.0,183.85175227746367,101,Day_of_Week,星期
1.0,165.3877283189073,102,Day_of_Week,星期
1.0,146.81068483073264,103,Day_of_Week,星期
1.0,132.00395371884107,104,Day_of_Week,星期
1.0,121.28221023872494,105,Day_of_Week,星期
1.0,109.8993701921776,106,Day_of_Week,星期
1.0,79.24517551306636,107,Day_of_Week,星期
1.0,74.12541374325752,108,Day_of_Week,星期
1.0,79.86140839338303,109,Day_of_Week,星期
1.0,69.77959736961871,110,Day_of_Week,星期
1.0,64.58179822437465,111,Day_of_Week,星期
1.0,60.6161652090773,112,Day_of_Week,星期
1.0,66.40848927024751,113,Day_of_Week,星期
1.0,74.72331811437384,114,Day_of_Week,星期
1.0,54.773877068534496,115,Day_of_Week,星期
1.0,45.40399467637762,116,Day_of_Week,星期
1.0,38.43127196222544,117,Day_of_Week,星期
1.0,46.19870686197653,118,Day_of_Week,星期
1.0,32.90680198483169,119,Day_of_Week,星期
1.0,83.04819251410663,264,Day_of_Week,星期
1.0,98.13791835274547,265,Day_of_Week,星期
1.0,98.41376373071223,266,Day_of_Week,星期
1.0,101.7135850862041,267,Day_of_Week,星期
1.0,137.2276496817544,268,Day_of_Week,星期
1.0,156.21477352634074,269,Day_of_Week,星期
1.0,210.8269116551429,270,Day_of_Week,星期
1.0,187.684015237391,271,Day_of_Week,星期
1.0,186.9008183423616,272,Day_of_Week,星期
1.0,146.85558504527435,273,Day_of_Week,星期
1.0,126.8321906179376,274,Day_of_Week,星期
1.0,105.62901925334707,275,Day_of_Week,星期
1.0,104.41624917268753,276,Day_of_Week,星期
1.0,118.71905097644776,277,Day_of_Week,星期
1.0,111.67124281628057,278,Day_of_Week,星期
1.0,96.54574265770614,279,Day_of_Week,星期
1.0,86.88193687837571,280,Day_of_Week,星期
1.0,90.9024362802133,281,Day_of_Week,星期
1.0,88.71954655308276,282,Day_of_Week,星期
1.0,76.11495721179992,283,Day_of_Week,星期
1.0,64.67157764054835,284,Day_of_Week,星期
1.0,71.27475787900389,285,Day_of_Week,星期
1.0,57.6483676777035,286,Day_of_Week,星期
1.0,59.8865161305666,287,Day_of_Week,星期
1.0,-35.138561074249445,432,Day_of_Week,星期
1.0,-36.60815358415246,433,Day_of_Week,星期
1.0,-35.074295234642925,434,Day_of_Week,星期
1.0,-30.63900189395994,435,Day_of_Week,星期
1.0,-1.7939030082896352,436,Day_of_Week,星期
1.0,54.129699827358124,437,Day_of_Week,星期
1.0,-27.019919137582182,438,Day_of_Week,星期
1.0,-58.44950428880751,439,Day_of_Week,星期
1.0,-89.68182772636413,440,Day_of_Week,星期
1.0,-102.803046223782,441,Day_of_Week,星期
1.0,-77.03613517001271,442,Day_of_Week,星期
1.0,-145.38128695379942,443,Day_of_Week,星期
1.0,-122.01143170114607,444,Day_of_Week,星期
1.0,-145.53697485323994,445,Day_of_Week,星期
1.0,-91.89337067753077,446,Day_of_Week,星期
1.0,-66.33800930283964,447,Day_of_Week,星期
1.0,-66.7288757891953,448,Day_of_Week,星期
1.0,-55.10952248360962,449,Day_of_Week,星期
1.0,-65.57535222750157,450,Day_of_Week,星期
1.0,-81.30836843643337,451,Day_of_Week,星期
1.0,-95.43073804918677,452,Day_of_Week,星期
1.0,-1.152628945633769,453,Day_of_Week,星期
1.0,10.355054801553488,454,Day_of_Week,星期
1.0,-19.133084303047507,455,Day_of_Week,星期
2.0,84.12011837545782,120,Day_of_Week,星期
2.0,97.87740345794708,121,Day_of_Week,星期
2.0,95.85891782324761,122,Day_of_Week,星期
2.0,88.79808814655989,123,Day_of_Week,星期
2.0,116.5693232145533,124,Day_of_Week,星期
2.0,157.2037592503801,125,Day_of_Week,星期
2.0,153.49083765547724,126,Day_of_Week,星期
2.0,190.2692896457389,127,Day_of_Week,星期
2.0,189.6188765932992,128,Day_of_Week,星期
2.0,192.49915982510893,129,Day_of_Week,星期
2.0,187.61872622296215,130,Day_of_Week,星期
2.0,183.4604359973222,131,Day_of_Week,星期
2.0,188.53800109140576,132,Day_of_Week,星期
2.0,190.28394495740534,133,Day_of_Week,星期
2.0,204.3134737277776,134,Day_of_Week,星期
2.0,187.33187577232718,135,Day_of_Week,星期
2.0,189.89306361019612,136,Day_of_Week,星期
2.0,179.42017070012167,137,Day_of_Week,星期
2.0,171.69273139156402,138,Day_of_Week,星期
2.0,153.37466671206056,139,Day_of_Week,星期
2.0,135.1763646299392,140,Day_of_Week,星期
2.0,122.18617579869925,141,Day_of_Week,星期
2.0,113.54614167332649,142,Day_of_Week,星期
2.0,87.90588470291347,143,Day_of_Week,星期
2.0,142.80307797718794,288,Day_of_Week,星期
2.0,151.5242238213867,289,Day_of_Week,星期
2.0,147.28881250377745,290,Day_of_Week,星期
2.0,148.15924725119024,291,Day_of_Week,星期
2.0,136.8401943667233,292,Day_of_Week,星期
2.0,143.90922236733138,293,Day_of_Week,星期
2.0,197.47128137964756,294,Day_of_Week,星期
2.0,207.68588981371374,295,Day_of_Week,星期
2.0,218.231608790271,296,Day_of_Week,星期
2.0,240.98858970552683,297,Day_of_Week,星期
2.0,222.6468376275152,298,Day_of_Week,星期
2.0,217.11578871231526,299,Day_of_Week,星期
2.0,179.57124539401383,300,Day_of_Week,星期
2.0,166.20752646420152,301,Day_of_Week,星期
2.0,160.02173895321786,302,Day_of_Week,星期
2.0,134.54194983620198,303,Day_of_Week,星期
2.0,128.88280770665034,304,Day_of_Week,星期
2.0,122.06946147304028,305,Day_of_Week,星期
2.0,120.82135890003293,306,Day_of_Week,星期
2.0,112.97105026129633,307,Day_of_Week,星期
2.0,92.47953910015524,308,Day_of_Week,星期
2.0,86.72370420183987,309,Day_of_Week,星期
2.0,73.00191968787462,310,Day_of_Week,星期
2.0,72.73302554883062,311,Day_of_Week,星期
2.0,106.93444893561303,456,Day_of_Week,星期
2.0,110.89646541845053,457,Day_of_Week,星期
2.0,120.20119184069335,458,Day_of_Week,星期
2.0,117.49907545726747,459,Day_of_Week,星期
2.0,155.440790069215,460,Day_of_Week,星期
2.0,218.48421932209283,461,Day_of_Week,星期
2.0,236.61077042590827,462,Day_of_Week,星期
2.0,258.5246414909884,463,Day_of_Week,星期
2.0,265.4288443862647,464,Day_of_Week,星期
2.0,277.2209053525701,465,Day_of_Week,星期
2.0,274.3422377542034,466,Day_of_Week,星期
2.0,267.0463426955417,467,Day_of_Week,星期
2.0,263.3807237115875,468,Day_of_Week,星期
2.0,276.1995256195962,469,Day_of_Week,星期
2.0,284.48152627777307,470,Day_of_Week,星期
2.0,276.02298855338245,471,Day_of_Week,星期
2.0,275.1148968088999,472,Day_of_Week,星期
2.0,266.27546771425756,473,Day_of_Week,星期
2.0,260.1573928062618,474,Day_of_Week,星期
2.0,238.63796729788183,475,Day_of_Week,星期
2.0,218.46673422455788,476,Day_of_Week,星期
2.0,170.31747094143182,477,Day_of_Week,星期
2.0,160.36035304319114,478,Day_of_Week,星期
2.0,155.5429930889234,479,Day_of_Week,星期
3.0,145.45104629397392,144,Day_of_Week,星期
3.0,142.22502914946526,145,Day_of_Week,星期
3.0,147.14483291808517,146,Day_of_Week,星期
3.0,148.42069589279592,147,Day_of_Week,星期
3.0,183.7597016458586,148,Day_of_Week,星期
3.0,191.29307910185307,149,Day_of_Week,星期
3.0,249.84751314338297,150,Day_of_Week,星期
3.0,269.00978654298933,151,Day_of_Week,星期
3.0,274.11346157390625,152,Day_of_Week,星期
3.0,282.25528366206214,153,Day_of_Week,星期
3.0,287.69911138635126,154,Day_of_Week,星期
3.0,287.9817361925915,155,Day_of_Week,星期
3.0,296.40656611014157,156,Day_of_Week,星期
3.0,288.26459914859385,157,Day_of_Week,星期
3.0,289.54665979526936,158,Day_of_Week,星期
3.0,265.93471992075445,159,Day_of_Week,星期
3.0,238.71078530661762,160,Day_of_Week,星期
3.0,232.58236001335084,161,Day_of_Week,星期
3.0,217.3181204342842,162,Day_of_Week,星期
3.0,176.18506716415285,163,Day_of_Week,星期
3.0,156.20558396859096,164,Day_of_Week,星期
3.0,126.98361176475882,165,Day_of_Week,星期
3.0,117.4567914379388,166,Day_of_Week,星期
3.0,114.49152506424115,167,Day_of_Week,星期
3.0,74.91316790394485,312,Day_of_Week,星期
3.0,71.82140457391739,313,Day_of_Week,星期
3.0,78.45515549838542,314,Day_of_Week,星期
3.0,72.51962031841278,315,Day_of_Week,星期
3.0,72.66392207987606,316,Day_of_Week,星期
3.0,67.27766271151603,317,Day_of_Week,星期
3.0,76.65312220524997,318,Day_of_Week,星期
3.0,72.9260586983338,319,Day_of_Week,星期
3.0,77.14261526916177,320,Day_of_Week,星期
3.0,64.20593600932509,321,Day_of_Week,星期
3.0,69.12921095784753,322,Day_of_Week,星期
3.0,92.8622574910149,323,Day_of_Week,星期
3.0,90.92320497728885,324,Day_of_Week,星期
3.0,79.27219586782158,325,Day_of_Week,星期
3.0,56.97952380465344,326,Day_of_Week,星期
