feature_value,shap_value,sample_index,feature_name,feature_chinese
0.0,-690.9345272074639,0,Hour,小时
0.0,-502.1278893064428,24,Hour,小时
0.0,-481.2830539447535,48,Hour,小时
0.0,-673.8273991382868,72,Hour,小时
0.0,-611.0050462878868,96,Hour,小时
0.0,-660.6499577387794,120,Hour,小时
0.0,-652.9735759847239,144,Hour,小时
0.0,-649.4637449576334,168,Hour,小时
0.0,-496.82587801719086,192,Hour,小时
0.0,-532.2502930864506,216,Hour,小时
0.0,-633.3043163024262,240,Hour,小时
0.0,-584.9503708514944,264,Hour,小时
0.0,-487.7930448555201,288,Hour,小时
0.0,-477.1961285524629,312,Hour,小时
0.0,-574.3321987612918,336,Hour,小时
0.0,-372.77078672244215,360,Hour,小时
0.0,-457.05572950704953,384,Hour,小时
0.0,-524.8465854940005,408,Hour,小时
0.0,-610.3929656662419,432,Hour,小时
0.0,-731.2399040305241,456,Hour,小时
0.0,-810.1712306523323,480,Hour,小时
1.0,-730.9104562688991,1,Hour,小时
1.0,-556.590247894125,25,Hour,小时
1.0,-543.9738045222406,49,Hour,小时
1.0,-726.0914181347005,73,Hour,小时
1.0,-680.1207492413745,97,Hour,小时
1.0,-690.81779105559,121,Hour,小时
1.0,-700.1569930155575,145,Hour,小时
1.0,-698.292140888609,169,Hour,小时
1.0,-541.739155528415,193,Hour,小时
1.0,-599.8453448235057,217,Hour,小时
1.0,-675.546915188916,241,Hour,小时
1.0,-642.5805094627477,265,Hour,小时
1.0,-564.4058256617748,289,Hour,小时
1.0,-548.8804832818731,313,Hour,小时
1.0,-618.9386454030126,337,Hour,小时
1.0,-475.5204329968523,361,Hour,小时
1.0,-525.5301871009078,385,Hour,小时
1.0,-597.812035205476,409,Hour,小时
1.0,-663.9297976249084,433,Hour,小时
1.0,-757.374102817215,457,Hour,小时
1.0,-872.0462928752601,481,Hour,小时
2.0,-752.534339601174,2,Hour,小时
2.0,-584.9298190349061,26,Hour,小时
2.0,-578.2278935868013,50,Hour,小时
2.0,-723.0433764787763,74,Hour,小时
2.0,-694.8779723799973,98,Hour,小时
2.0,-701.4060296600312,122,Hour,小时
2.0,-711.5575951839238,146,Hour,小时
2.0,-687.5761922768876,170,Hour,小时
2.0,-562.6131057698466,194,Hour,小时
2.0,-610.5347872666456,218,Hour,小时
2.0,-723.5443089840561,242,Hour,小时
2.0,-657.2856427869015,266,Hour,小时
2.0,-611.4939755263366,290,Hour,小时
2.0,-565.2234245448374,314,Hour,小时
2.0,-650.9464300682396,338,Hour,小时
2.0,-513.3430292127189,362,Hour,小时
2.0,-544.6801360481884,386,Hour,小时
2.0,-614.9133444799855,410,Hour,小时
2.0,-681.908407044895,434,Hour,小时
2.0,-780.4930165263638,458,Hour,小时
2.0,-895.4741327865049,482,Hour,小时
3.0,-730.4174913284928,3,Hour,小时
3.0,-584.904088379424,27,Hour,小时
3.0,-551.9847731829249,51,Hour,小时
3.0,-694.8911089540832,75,Hour,小时
3.0,-679.1241394212097,99,Hour,小时
3.0,-684.5778671364859,123,Hour,小时
