feature_value,shap_value,sample_index,feature_name,feature_chinese
-4.1035323154422585,-1.8306125446595252,73,Temperature,温度
-3.8478672038363095,-15.708989028930665,291,Temperature,温度
-3.8142796709851097,20.884934776443988,103,Temperature,温度
-3.66443408234548,-5.436686508208513,290,Temperature,温度
-3.4867706146008155,35.58881095854566,267,Temperature,温度
-3.2678066721827146,42.52947011379525,270,Temperature,温度
-2.8672891318242644,194.20889405196533,485,Temperature,温度
-2.8183152595551664,21.921394404489547,69,Temperature,温度
-2.630928511475028,8.832906951215119,391,Temperature,温度
-2.357406851072985,18.332866272702812,294,Temperature,温度
-2.318599621608845,53.17193809563294,77,Temperature,温度
-2.241618083029719,128.41771366477013,502,Temperature,温度
-2.208528015656385,-11.398706498611718,458,Temperature,温度
-2.1789889021100395,-24.75639130147174,498,Temperature,温度
-2.147974296016544,-11.61578542219475,414,Temperature,温度
-2.130424495696733,-28.574767846539615,431,Temperature,温度
-1.6274290282006,-19.03246673602611,385,Temperature,温度
-1.57001945698889,65.91040724953636,269,Temperature,温度
-1.5180776390562134,58.6542416350916,461,Temperature,温度
-1.4951235556674332,-8.178717094231397,75,Temperature,温度
-1.101692969290841,16.900937322322278,266,Temperature,温度
-1.042735196313414,-45.452465297803286,340,Temperature,温度
-1.015139860705013,20.168408381193878,484,Temperature,温度
-0.9583349265813796,-105.72300877831876,341,Temperature,温度
-0.935593694357209,17.612787690740078,265,Temperature,温度
-0.8789116761225306,-26.36087909780443,388,Temperature,温度
-0.8196578008313953,-28.76369536543265,432,Temperature,温度
-0.6761336746888663,-50.4545303555578,342,Temperature,温度
-0.6381784856860566,72.05003317587078,503,Temperature,温度
-0.5023007231267349,-20.755606375187636,338,Temperature,温度
-0.4864775183422576,-40.68762032322586,389,Temperature,温度
-0.3275509785815012,-16.311252004392443,53,Temperature,温度
-0.2726388326279524,2.1476060430146755,76,Temperature,温度
-0.2707928688500061,0.41957226714119317,460,Temperature,温度
-0.2368669141697277,-18.04133378116414,378,Temperature,温度
-0.2345683899419953,-39.70329008817673,384,Temperature,温度
-0.0813169728876244,-92.07438908012584,416,Temperature,温度
0.1183262871851764,0.680027466956526,101,Temperature,温度
0.23344374131868,-38.90757141847163,455,Temperature,温度
0.2484643364007288,22.84764825353399,268,Temperature,温度
0.2962604101090287,16.962866124995053,54,Temperature,温度
0.296694396790262,-18.76831448500976,476,Temperature,温度
0.3115552717746236,39.97627507131547,295,Temperature,温度
0.4261759482506488,29.29822209758684,246,Temperature,温度
0.4354631819384975,-31.745699770376085,219,Temperature,温度
0.4446630498120532,-27.970638257823886,289,Temperature,温度
0.4496850843128186,-12.590220186654479,330,Temperature,温度
0.4589675064818568,-104.9311608258076,417,Temperature,温度
0.4632477146581214,22.784668905213476,287,Temperature,温度
0.5073898596361768,-44.92261898169294,407,Temperature,温度
0.542779174032065,44.25335357237607,262,Temperature,温度
0.5470585233894343,4.446671411767602,366,Temperature,温度
0.6478797480406984,-3.298555712774396,419,Temperature,温度
