hour,Temperature,Hour,Day_of_Week,Week_of_Month
0,-3.5870460495352745,-780.4210693291948,120.59669357109814,98.22508857622742
1,-26.27676572971046,-862.7773234610632,117.78752936739474,98.18935325641185
2,-9.191155639365315,-866.9508320781216,127.78905190497636,96.06857929512859
3,-29.871646768003703,-862.6508428044617,127.98656999032944,100.76848903192207
4,-13.55292207710445,-750.1917644039914,112.72962389227003,79.06072342697531
5,-49.49083468837664,-474.2628005027771,137.10372771348804,77.98403848133981
6,-6.360309173054993,236.53731803391128,392.9040065040067,242.9460513579566
7,25.50882416220382,548.1821543918923,437.0832969008014,280.9593697523978
8,-87.31179954728111,485.12056219799445,432.513450630866,277.0724811286852
9,44.61426549907774,465.2697769611701,482.20024374928323,294.5393077626452
10,-70.82588096033781,261.9648905656114,490.62369368787853,277.4720133057609
11,-19.470004561692477,214.77239264950157,507.6679991089925,305.63831794250757
12,-34.62005042640492,198.28324526511133,504.5935028327629,288.8072844057158
13,-14.925164349414409,207.95395440869032,508.996701384224,306.94803388874976
14,-20.026285420283674,303.42896449230614,491.29391335308554,298.3882207144424
15,-53.70847574520856,445.4356289634854,413.85380442492664,283.2123140018247
16,-9.123321181684732,547.8940741693973,345.69466087169945,263.87806222849525
17,-17.333242381587624,572.5383522218466,343.1960984585434,267.59734949013216
18,0.22299923229962587,551.4356637125835,330.44908610381185,280.4378882245347
19,-18.741322106830776,515.8331035070121,348.1045092011988,301.40633947690947
20,-21.515299396663906,389.25767723359166,352.26238708067683,293.4413469131477
21,43.963097161799666,75.18048905067145,243.46336715433748,197.7494461046159
22,147.19808422941713,-108.46978178575635,212.57711576653645,153.5273285118118
23,82.37420069228858,-445.0221616267413,192.28008076926693,128.08703790131958
